	HYBAS_ID	NEO	PALEO	MISTO	SUPER	NotSignificant
405	6050027300	0	0	0	0	1
406	6050027770	0	0	0	0	1
407	6050027780	0	0	0	0	1
408	6050028110	0	0	0	0	1
409	6050028120	0	0	0	0	1
410	6050029280	0	0	0	0	1
411	6050029580	0	0	0	0	1
412	6050029590	0	0	0	0	1
413	6050029610	0	0	0	0	1
414	6050029620	0	0	0	0	1
415	6050029720	0	0	0	0	1
416	6050029730	0	0	0	0	1
417	6050032100	0	0	0	0	1
418	6050032110	0	0	0	0	1
419	6050032290	0	0	0	0	1
420	6050032610	0	1	0	0	0
421	6050032620	0	0	0	0	1
422	6050033220	0	0	0	0	1
423	6050033230	0	0	0	0	1
424	6050033560	0	0	0	0	1
425	6050033570	0	1	0	0	0
426	6050034060	0	0	1	0	0
427	6050034070	0	1	0	0	0
428	6050035990	0	0	0	0	1
429	6050040460	0	0	0	0	1
430	6050040470	0	0	0	0	1
431	6050040480	0	0	0	0	1
432	6050040490	0	0	0	0	1
433	6050040500	0	0	0	0	1
434	6050040510	0	0	0	0	1
435	6050040520	0	0	0	0	1
436	6050040530	0	0	0	0	1
437	6050040540	0	0	0	0	1
438	6050040550	0	0	0	0	1
439	6050040590	0	0	0	0	1
440	6050040600	0	0	0	0	1
441	6050040610	0	0	0	0	1
442	6050040670	0	0	0	0	1
443	6050040680	0	0	0	0	1
444	6050040710	0	0	0	0	1
445	6050040750	0	0	0	0	1
446	6050040760	0	0	0	0	1
447	6050040780	0	0	0	0	1
448	6050040790	0	0	0	0	1
449	6050040810	0	0	0	0	1
450	6050040890	0	0	0	0	1
451	6050040900	0	0	0	0	1
452	6050040910	0	0	0	0	1
453	6050040920	0	0	0	0	1
454	6050041010	0	0	0	0	1
455	6050041070	0	0	0	0	1
456	6050041130	0	0	0	0	1
457	6050041170	0	0	0	0	1
458	6050041200	0	0	0	0	1
459	6050041310	0	0	0	0	1
460	6050042900	0	0	0	0	1
